,33N,35N,36N,37N,42N,47N,54N,63N,64N,66N,77N,79N,84N,85N,86N,88N,92N,99N,100N,101N,107N,109N,110N,126N,2,4,5,6,7,8,10,12,13,14,23,24,25,27,29,49,50,69,70,71,72,73,90,93,98,106,114,112,115,118,119,120,121,34N,38N,39N,46N,53N,55N,56N,57N,58N,59N,62N,65N,67N,68,75N,78N,83N,89N,102N,103N,104N,108N,111N,1,16,18,21,41,48,51,60,74,91,94,97,113,117,122,Pool1,Pool1v2,Pool2,Pool2v2
Label,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,Ctrl,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,PKD,Pool,Pool,Pool,Pool
F1,40206868.86,222835342.3,105793865.6,70610502.51,33835143.36,49825913.92,90660716.64,25265552.69,15677236.53,28180719.45,126006825.2,44463147.9,156286967.6,44003873.62,95350927.13,2793453.556,34759522.44,61978860.45,110426122.9,89979169.37,63816850.6,162809939.3,302946065.1,137779786.7,41351395.77,34010215.97,10084727.79,169443423.8,10049730.02,24402650.99,151496734.6,11878553.56,169331043.8,50614249.14,71406623.2,54646345.97,281086169.4,5508461.421,289660407.8,38973220.67,32114136.21,191589179.3,7525463.958,6240251.524,70096296.22,32071898.92,48582922.91,285859004.5,19889055.51,246877013.6,295151246.5,237490713.3,54809392.98,8981167.4,132242717.6,23039073.69,140801974.6,62411621.62,164508798,64865296.71,57822925.38,77500599.3,89798409.92,247287798,96930751.38,30538502.82,84808024.43,86946052.64,405851205,532051.2811,128108056.4,170094909.1,33187399.8,41790722.7,26431978.29,147922696.3,111586032.8,29545019.79,345831410.5,161307359.8,214099803.8,243132195.9,128034100.3,46255117.92,9342998.165,27253864.97,10929922.15,69709728.3,222696348.3,17154969.19,157228451.7,317808161.6,39715725.84,31574578.96,11550166.61,110661089.7,98765011.72,231654716.8,220654048.1
F2,148413099.6,99754396.08,47348445.35,10519996.14,52504160.47,22987598.27,35913214.72,45248421.5,93437092.16,37006502.14,62113620.47,38580937.46,56729958.75,28980106.9,26676626.02,26723760.94,30324676.4,29263947.93,61780374.3,33523699.68,67834195.24,36706577.95,131213093.9,58593211.38,37899518.07,53521078.87,39846633.79,105290362.5,36101582.06,82995027.27,43175049.94,38119778.08,59156389.16,147954220,56682469.28,50452328.26,62931250.36,11600702.56,79400340.11,84209629.87,48249362.17,31886762.44,27594898.61,32241227.69,124648630.7,35061501.46,28380803.74,37942692.33,519832.3541,49481899.56,36856712.39,48918498.65,55292435.59,40836690.1,52169038.49,35781054.54,64504455.31,41551681.43,57596949.62,68589815.04,37194287.62,110588875.9,725280.0424,41067524.01,59602849.62,42446573.79,42055842.97,17722173.89,40210802.43,34540779.14,97322973.32,78164655.51,102924851.3,36292216.42,37795418.96,65750450.79,58156399.69,104260985.1,45366394.78,92634997.45,9624922.667,46070231.63,25064029.76,42503597.91,51347717.04,46977499.74,431976.8725,52884186.83,31950681.15,59198135.95,27169080.84,131431413.6,31511668.43,76473736.8,57273701.53,27850264.58,25477203.02,47654043.15,43972215.18
F3,114575570,162989109.5,91706776.28,7561915.814,49678724.05,45463082.92,47815143.32,20403393.37,119161275.2,89502872.97,55022547.83,52249231.25,105253153.3,8841341.458,85993722.48,9722783.714,27295308.26,41948051.3,23523036.22,15021146.2,219865519.4,19364292.89,61670702.08,43395768.29,63126414.68,57251948.09,14080657.04,33373763.98,64386317.04,66394681.64,41462760.95,35994580.9,93252584.01,113885246.1,106799599.3,129937715.4,111166668.5,42120403.96,81550100.67,91777338.69,35737742.67,42334391.05,26612895.54,52931179.21,109079153.7,31838143.95,21319802.21,22187822.17,16874037.8,15131474.95,88977524.8,48817530.13,44203863.72,95741462.7,56537651.59,84274459.48,44932529.03,34727025.73,111374984.8,37815139.83,122263658.9,91127431.04,5591623.306,64492535.34,106351663.1,137417838.1,83460046.9,10793085.86,52554131.34,21229887.81,123445070.1,101757982.6,102170086.8,55690896.07,103357674.2,57614570.32,83388956.27,242390848.9,72202387.52,87599827.28,23650585.92,59895345.82,41284212.55,36852140.58,88591826.57,85671346.47,46818854.87,97443145.4,45499378.54,31715005.15,43709859.65,134460985.5,34581993.65,190604984.8,95182974.06,70798325.91,38512145.17,42039949.82,62592513.8
F4,45527570.23,251598224.7,89699492.01,6899345.973,66285521.52,18124187.2,6315761.675,100357996.6,23159639.45,57431648.17,27152651.46,79553737.17,112356157.5,11705013.24,3702315.695,4988563.681,2782851.297,10242536.77,4584988.444,6879217.643,35731054.81,32450017.94,53352454.17,33811292.15,16239565.97,24947982.01,23864403.17,30536275.53,49894416.7,14461356.92,10209743.54,9402285.566,24179802.43,18242531.74,30793317.94,27723359.13,8692750.126,51201241.45,18948027.68,32582717.99,26989787.41,24925762.14,16035686.16,10599697.66,53574807.72,51103370.7,12618753.16,10888634.48,9115239.452,4279358.032,21296568.26,6436831.867,38664558.42,21252041.42,155919338.8,54018384,26986073.42,53447984.17,9937121.132,50970583.09,26029029.87,4879000.524,2082308.342,14079701.1,8981289.598,53135954.5,31850831.29,5301784.5,42939898.94,9818125.435,107480282.6,133280085.4,111952850.5,11942943.59,116391774.9,34122756.72,85284531.92,8508987.828,17301601.45,18062391.76,6635154.268,98949283.48,27987287.21,41435876.98,57979208.36,12168326.23,26680357.09,14220097.34,10021197.96,38309483.86,45371550.51,8719366.571,14807492.18,27755307.92,120976141.6,21919967.84,13183584.9,118576163.9,105930647.7
F5,82347614.15,25278637.14,40584860.34,4731585.065,44559633.69,22029250.88,28495908.12,15164827.76,46992028.11,24236741.62,25167029.71,33524309.93,147980235.1,28454671.34,16915628.84,7622211.357,30631199.42,28562158.95,24635520.24,36105120.28,62102243.61,18579756.7,57191445.14,28498758.61,25100639.21,27724530.06,24674192.25,16298975.83,26370950.27,33530442.38,23716991.07,13771039.4,26165279.29,48531726.6,17782382.24,42328637.2,33894330.89,22185754.27,27112274.76,44137767.81,19183062.39,41727371.47,30814895.74,33725352.53,60271607.66,17148128.7,12100238.78,30835423.54,14922416.18,26887448.61,27346948.04,33349777.43,37629883.5,32088535.84,26912565.99,31761939.82,30051462.8,28115202.05,55390733.51,43635598.6,39768298.01,82522849.8,11052956.88,30858198.87,55628200.5,58133765.13,27991703.62,24204628.98,23020047.79,15051897.15,66200371.41,38732999.75,98794745.71,35474188.65,68459315.57,40765633.86,50251098.37,42645309.46,33790455.65,38135534.84,26028401.2,48090241.34,24410307.92,61786044.57,35072821.88,54299665.04,22216254.7,39204664.12,23509085.87,28139119.31,14405742.79,81716038.41,23560718.94,60812046.56,33741967.17,24391243.95,21671341.47,30393270.97,28759418.84
F6,28876975.13,7234913.903,13721128.69,16285952.37,34246826.87,28221290.1,12345995.69,37692528.6,32428601.78,56111612.85,32164559.09,43134600.5,11375905.91,25035462.85,22023610.71,18376124.17,14467607.49,28308365.29,13360742.56,65454127.73,48122286.34,44481799.95,14134333.31,17879056.32,28179020.26,28163614.02,20766583.56,10431712.16,57693778.18,26033270.31,14639320.5,33718183.09,19539962.14,61600678.1,76956506.66,39028785.36,18207270.97,34802178.86,23266906.94,76907194.65,62347915.85,9390370.555,14164000.13,18524797.17,52354983.47,21060390.98,33470624.39,8109119.125,9562060.137,14153709.46,14792059.9,42488321.96,22659232.39,71191754.27,39001185.21,34860999.33,17589680.27,18477452.65,25180217.38,35908377.14,43462963.77,26086595.47,7471490.052,22770111.01,18812314.75,41035355.37,24765543.61,5220761.469,13987932.7,22411891.46,15952163.2,45083499.98,82237562.12,23296142.5,17717261.79,12633522.1,25156805.48,33222728.96,9828593.389,24688809.33,13356529.54,21675631.56,37553793.44,23199503.41,68655489.85,108657554.1,34109792.11,93368422.4,9159601.996,15741487.39,21467286.8,27857977.2,39435253.93,47554683.87,53166407.82,29073242.92,27856577.63,17387433.31,16520612.84
F7,5991536.488,6475941.463,4728709.191,15065049.26,19434770.9,27424178.24,52747074.82,5577789.667,4097504.614,20442390.56,25813178.55,28610451.62,1520090.428,34165994.47,11384986.93,5590261.309,11394710.92,21827544.86,22390777.38,20146796.31,29569672.65,31138233.84,28675688.41,43972979.15,13475647.73,26445840.79,11219197.95,15812332.47,20969399.93,18513675.11,24555668.73,28690190.03,2272887.622,14350745.46,14917655.09,49233800.82,59065597.53,6783491.731,7963442.602,15151726.83,24348223.37,28546717.82,25991319.7,26710686.4,16795270.67,24987048.68,32627228.33,15409650.93,16490953.9,23555622.3,18223094.8,19601692.3,38525156.82,33988710.57,25021881.32,43737515.03,6844674.627,31729703.88,5189171.651,13465737.49,17007730.34,12573760.6,1430483.996,42264891.46,9527576.66,24037908.14,28522862.38,18676749.92,37017722.46,24575272.77,6101762.251,29699524.39,27480658.66,26873994.13,3555194.327,13826575,17380322.04,24558688.09,21256835.73,21613902.74,134888078.2,250607283.6,231620853.2,5628428.768,42147026.32,32325954.42,18174659.59,23838415.85,50588100.93,7671431.407,19542238.51,22536232.18,10399055.52,7324306.752,10479359.46,151509149,159719402.1,28314434.16,24356099.86
F8,13563160.33,6675395.654,10403168.81,9804006.629,11277162.05,19397982.55,12263327.16,5388641.719,16524154.69,12184566.27,20871885.12,20023987.1,1953657.218,10087625.54,7067368.099,13188505.07,8017752.13,11270564.54,9706021.056,18167926.74,26534833.91,14847914.51,24286739.23,16027564.61,10009793.05,12299238.43,15519875.58,8776789.342,13970099.02,12649220.32,10086654.36,9808824.376,15567885.59,18744480.26,24634929.17,12679655.31,18125324.37,8460575.212,15763000.94,25344288.96,20947357.21,13289915.72,14796659.3,14194611.17,15710261.46,12304361.17,16673776.81,12519821.66,8817513.186,10252912.74,17291745.28,14380525.7,16827255.96,20424511.93,7126849.099,15900698.42,20423787.38,11104185.93,5677478.542,15254653.48,27853781.9,31829211.34,6352611.918,15136081.2,9878665.046,10758967.82,11743653.38,6477298.871,3891529.487,8508625.421,11072672.69,7223490.851,18462226.63,10321204.3,551237.0597,11624904.54,13480606.18,19681166.5,18824272.51,18171359.26,11247190.02,8466100.951,9193820.183,7455784.713,11069761.99,15964840.91,13993172.36,19821598.73,9060752.153,13451893.58,12455878.92,23219717.36,16506540.39,12933732.47,10706960.12,10042587.49,9572312.852,13183758.92,11815285.9
F9,4714002.847,1284551.755,7984405.011,1436098.617,705745.1844,1508228.939,780946.1304,1173213.053,1963402.391,4614810.027,9794379.317,2107111.135,2346551.827,4332962.592,744904.5966,241742.5978,2092286.82,6677117.888,19124076.4,10807927.86,15719710.82,2566600.686,1054263.922,5381477.069,4186656.804,3259344.88,1997027.278,1087977.173,3848367.495,3652848.48,2351046.632,7519576.558,669237.4314,5948530.379,7049621.284,6014763.303,2098325.824,1232588.813,2493794.771,9115490.475,9885012.184,2289368.093,2421313.202,3737890.874,10973959.67,1940165.263,4491924.642,3126773.033,1301231.316,21777822.15,1692995.198,6034012.903,5579538.411,6619055.97,8412190.669,6724143.451,675074.5614,6845397.929,7662599.113,2389615.731,4855514.316,5417655.531,530767.3412,9951131.124,9536806.765,12144908.09,2514952.747,101278.6956,4117065.485,2376361.904,8616963.958,1335998.502,30667888.83,1876375.795,951851.4332,1177450.897,5314380.018,17271999.3,4248827.969,4241632.076,2396277.327,4969351.692,7980607.951,3128828.852,11691496.3,14289591.58,2681133.491,5404354.067,4068406.394,1671044.113,3808850.508,4810007.078,7535881.3,8747062.879,5047932.063,5053503.779,4698124.138,1781000.104,2056328.104
